,VaR,ES
2022-10-13,0.02588501375245558,0.029735229274502794
2022-10-14,0.028070625341643205,0.03223920692662293
2022-10-17,0.030120622195648507,0.034587815588262495
2022-10-18,0.0318102810426706,0.0365235977801125
2022-10-19,0.02984072233298036,0.03426714424646519
2022-10-20,0.02786476284869085,0.032003357572459305
2022-10-21,0.026129193155362572,0.0300149769529155
2022-10-24,0.027721242965972042,0.031838931934921225
2022-10-25,0.026516807729445497,0.03045905321785719
2022-10-26,0.02678229902005835,0.03076321716986763
2022-10-27,0.026397270819113708,0.030322104020865815
2022-10-28,0.026359264298125174,0.03027856129824258
2022-10-31,0.03273483333586702,0.0375828245392645
2022-11-01,0.030859705500174903,0.03543455710754454
2022-11-02,0.029108737693830655,0.033428535416244194
2022-11-03,0.032171283805203905,0.036937185836750236
2022-11-04,0.032309360143395915,0.0370953749984612
2022-11-07,0.03109653039990285,0.03570587899260318
2022-11-08,0.029260307033187348,0.03360218303065716
2022-11-09,0.02749398431697159,0.03157856976391001
2022-11-10,0.02893618065458624,0.03323084293871454
2022-11-11,0.04647342694270128,0.053322643788603394
2022-11-14,0.043620202287371186,0.05005380553354991
2022-11-15,0.040528849784695904,0.046512152652581386
2022-11-16,0.03801665567239807,0.04363402099089868
2022-11-17,0.03569848473791533,0.040978174800086344
2022-11-18,0.03326224436489645,0.038187060642652954
2022-11-21,0.030894479797329205,0.03547439678600037
2022-11-22,0.029351893310888718,0.033707110179533754
2022-11-23,0.02842955399475186,0.03265041874968236
2022-11-25,0.02691965270351278,0.03092057841168558
2022-11-28,0.02555916243139285,0.029361912977182936
2022-11-29,0.026037611447708806,0.029910055039780302
2022-11-30,0.024937385488442616,0.028649565194322917
2022-12-01,0.032077792762552786,0.036830076466251874
2022-12-02,0.030248014400431723,0.03473376431740061
2022-12-05,0.028226826519560648,0.03241816107413708
2022-12-06,0.027992697290288564,0.03214992752307721
2022-12-07,0.02821589534119101,0.03240563761091776
2022-12-08,0.026745046528549577,0.03072053831206635
2022-12-09,0.02554172677762269,0.029341937567276356
2022-12-12,0.024424245425098502,0.02806167882998553
2022-12-13,0.024172113895605345,0.027772820682284916
2022-12-14,0.02324049897116182,0.02670550251709563
2022-12-15,0.022385418554936493,0.025725867222523627
2022-12-16,0.028168664741965943,0.0323515271891297
2022-12-19,0.027100391777266447,0.03112764475585348
2022-12-20,0.026286230561212934,0.030194889137102988
2022-12-21,0.024722865503565825,0.028403797258829723
2022-12-22,0.024921664307727777,0.028631553995366234
2022-12-23,0.025869938760610077,0.029717958391206886
2022-12-27,0.02434996522819269,0.02797657864385577
2022-12-28,0.023668166815497015,0.02719546639267325
2022-12-29,0.024301172494754424,0.02792067854032425
2022-12-30,0.02594472422297902,0.029803637442050918
2023-01-03,0.024347470479632937,0.027973720498944664
2023-01-04,0.02473161168214799,0.028413817445316444
2023-01-05,0.023626513830830462,0.027147746045990823
2023-01-06,0.023376671312275506,0.026861510336907875
2023-01-09,0.026977265633052246,0.03098658350094923
2023-01-10,0.025277568624971863,0.02903930094412921
2023-01-11,0.02404651465087567,0.027628926083865822
2023-01-12,0.024321884615840297,0.027944407682585205
2023-01-13,0.02311177429555097,0.02655802722340642
2023-01-17,0.022048137858544044,0.025339456695403332
2023-01-18,0.02081769077904161,0.023929777132743357
2023-01-19,0.021301304484912756,0.02448383619692066
2023-01-20,0.020545604189529762,0.02361805718078589
2023-01-23,0.022793433125490897,0.02619331503962976
2023-01-24,0.023567690925719646,0.027080354730645073
2023-01-25,0.022319725893873845,0.02565060547152316
2023-01-26,0.02097230086079212,0.02410690841783123
2023-01-27,0.02132056105771277,0.024505897769153438
2023-01-30,0.02054008152453309,0.023611730059443645
2023-01-31,0.02144712190654516,0.024650894043275248
2023-02-01,0.021528440327259767,0.024744057672706207
2023-02-02,0.02173095464075948,0.02497607113646452
2023-02-03,0.02530774612968584,0.02907387424058059
2023-02-06,0.02561355697739785,0.029424230878619555
2023-02-07,0.024629629636975344,0.028296980234490378
2023-02-08,0.024850394746790037,0.02854990298804757
2023-02-09,0.0246085522391758,0.0282728326076586
2023-02-10,0.0235163701901743,0.027021558384793126
2023-02-13,0.022241870611008026,0.02556140943625325
2023-02-14,0.022402329273910674,0.025745241233259164
2023-02-15,0.021144146435971838,0.024303785796224744
2023-02-16,0.02036293441235448,0.023408778898209307
2023-02-17,0.021041214161476526,0.024185859941377882
2023-02-21,0.020003592512538977,0.02299709363305986
2023-02-22,0.022900301372506603,0.026315750198544728
2023-02-23,0.02149849999341299,0.024709756094502548
2023-02-24,0.020515329977732682,0.023583373090460574
2023-02-27,0.02098821357258088,0.02412513904714378
